BHP : Projection UTM Zone 12N; Datum WGS84
Patch:   Cobre
Timing(ms)= 40:60,60:80,80:120,120:160,160:200,200:240,240:320,320:400,400:480,480:560,560:640,640:720,720:800,800:960,960:1120,1120:1280,1280:1440,1440:1600,1600:1760,1760:1920;Integration Window - 40:1920(ms)
Units: Vp = mV, Vs = mV, In = mA, Mx = mV/V, Rho = ohm-m
   RDG    DIPOLE     Status     a        TxFile      Tx1East     Tx1North      Tx1Elev         Tx1x         Tx1y      Tx2East     Tx2North      Tx2Elev        Rx1File      Rx1East     Rx1North      Rx1Elev         Rx1x         Rx1y        Rx2File      Rx2East     Rx2North      Rx2Elev         Rx2x         Rx2y      Contact         Vp         Vp_err           In       In_err          Rho       Rho_QC             k         Coupling      Stack      TimeBase       Mx   Mx_err    Mx_QC          M01         M02         M03         M04         M05         M06         M07         M08         M09         M10         M11         M12         M13         M14         M15         M16         M17         M18         M19         M20
    91      142     Good      823  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   QD003373.DAT   537095.000  3620776.000      813.000            1         1150   WE001185.DAT   537874.000  3621041.000      844.000            1         1950        0.000       13.257        0.245     4083.367         0.10        66.02       Accept      20336.592        349.259         114          2000     -7.3     0.00   Accept       -4.489      -2.362      -1.191      -0.474      -0.211      -0.101      -0.037       0.007       0.026       0.037       0.046       0.045       0.034       0.014       0.013       0.031       0.036       0.024       0.008       0.006
    91      143     Good      818  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   Z2000747.DAT   536320.000  3620516.000      778.000            1          350   QD003373.DAT   537095.000  3620776.000      813.000            1         1150        0.000       33.922        0.116     4083.306         0.11        59.51       Accept       7163.334        253.903         114          2000     -2.0     0.00   Accept       -3.846      -2.139      -1.102      -0.435      -0.177      -0.069      -0.006       0.038       0.054       0.061       0.061       0.056       0.050       0.044       0.041       0.040       0.033       0.026       0.026       0.028
    91      147     Good      823  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   SY001995.DAT   537973.000  3621074.000      845.000            1         2050   QR004154.DAT   538750.000  3621343.000      887.000            1         2850        0.000        2.677        1.341     4083.367         0.10        32.12       Accept      48997.694        381.007         114          2000    -19.2     0.00   Accept       -2.068      -1.064      -0.530      -0.204      -0.086      -0.037      -0.011       0.002      -0.003      -0.012      -0.019      -0.020      -0.010       0.011       0.026       0.018      -0.005      -0.015      -0.006       0.010
    91      163     Good      821  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   VT001009.DAT   537194.000  3620815.000      818.000            1         1250   SY001995.DAT   537973.000  3621074.000      845.000            1         2050        0.000       10.458        0.365     4083.306         0.11        59.00       Accept      23035.830        354.071         114          2000     -5.4     0.00   Accept       -2.613      -1.470      -0.770      -0.322      -0.147      -0.071      -0.023       0.012       0.028       0.037       0.042       0.037       0.023       0.002       0.004       0.027       0.033       0.021       0.005       0.001
    91      171     Good      824  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   TN003852.DAT   537583.000  3620945.000      829.000            1         1650   XG000936.DAT   538364.000  3621205.000      863.000            1         2450        0.000        4.592        0.650     4083.367         0.10        38.93       Accept      34614.997        371.808         114          2000    -15.0     0.00   Accept       -3.007      -1.552      -0.780      -0.315      -0.145      -0.072      -0.026       0.007       0.018       0.024       0.026       0.018       0.007      -0.003       0.004       0.019       0.017       0.008       0.002       0.004
    91      179     Good      827  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   VF001827.DAT   536214.000  3620480.000      777.000            1          250   Y2001327.DAT   536997.000  3620746.000      805.000            1         1050        0.000       35.358        0.098     4083.367         0.10        55.61       Accept       6422.545        236.213         114          2000     -1.8     0.00   Accept       -3.896      -2.129      -1.079      -0.411      -0.158      -0.051       0.010       0.052       0.063       0.064       0.061       0.054       0.049       0.045       0.043       0.045       0.038       0.028       0.028       0.028
    91      180     Good      827  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   VG001669.DAT   536508.000  3620578.000      787.000            1          550   X0001240.DAT   537290.000  3620846.000      824.000            1         1350        0.000       32.669        0.116     4083.367         0.10        72.81       Accept       9100.796        288.483         114          2000     -3.1     0.00   Accept       -5.220      -2.844      -1.452      -0.574      -0.242      -0.102      -0.023       0.031       0.049       0.054       0.056       0.053       0.048       0.046       0.048       0.046       0.034       0.025       0.028       0.032
    91      184     Good      826  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   X0001240.DAT   537290.000  3620846.000      824.000            1         1350   X4001349.DAT   538071.000  3621112.000      854.000            1         2150        0.000        8.123        0.356     4083.367         0.10        50.79       Accept      25531.734        361.216         114          2000     -9.2     0.00   Accept       -3.475      -1.800      -0.900      -0.354      -0.155      -0.071      -0.022       0.013       0.027       0.036       0.041       0.035       0.017      -0.004       0.001       0.026       0.032       0.019       0.002      -0.002
    91      186     Good      827  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   Y2001327.DAT   536997.000  3620746.000      805.000            1         1050   X1001269.DAT   537780.000  3621010.000      835.000            1         1850        0.000       15.568        0.220     4083.367         0.10        68.72       Accept      18025.534        343.204         114          2000     -6.7     0.00   Accept       -4.815      -2.551      -1.290      -0.512      -0.224      -0.104      -0.038       0.006       0.025       0.037       0.045       0.045       0.037       0.022       0.023       0.035       0.033       0.020       0.009       0.011
    91      187     Good      827  DL001788.DAT   536170.000  3619939.000      768.000            0          200   540804.000  3612100.000      786.000   X1001269.DAT   537780.000  3621010.000      835.000            1         1850   YU001010.DAT   538562.000  3621277.000      877.000            1         2650        0.000        3.298        1.392     4083.367         0.10        33.42       Accept      41380.717        378.893         114          2000    -38.2     0.00   Accept       -5.568      -2.599      -1.220      -0.449      -0.191      -0.087      -0.031       0.002       0.007       0.005       0.001      -0.002      -0.003      -0.000       0.011       0.016       0.006      -0.002      -0.001       0.006
